Region,0
Anhui,0.0
Beijing,25.718828535397066
Chongqing,0.0
Fujian,0.0
Gansu,29.38455466744087
Guangdong,0.0
Guangxi,0.0
Guizhou,0.0
Hainan,0.0
Hebei,87.69544823581712
Heilongjiang,37.25646655356057
Henan,116.79802397002386
Hubei,13.499741428584391
Hunan,15.61458342784043
InnerMongolia,28.233140690068137
Jiangsu,19.91946180854828
Jiangxi,10.61885666070894
Jilin,28.18614420119578
Liaoning,49.99251503796917
Ningxia,8.47111711924225
Qinghai,6.967229475326844
Shaanxi,46.46777837254244
Shandong,119.42982734687581
Shanghai,5.846363215721142
Shanxi,41.004436541131
Sichuan,19.670380417524793
Tianjin,16.296032516489596
Tibet,4.300178731820615
Xinjiang,30.4302265448508
Yunnan,0.0
Zhejiang,15.198664501320076
