Scenario,Flexibility,Demand,Market,Category,Cost_Type,Carrier,Value_100p_EUR,Value_100p_Billion_EUR,Value_Non_Flex_EUR,Value_Non_Flex_Billion_EUR,Difference_EUR,Difference_Billion_EUR,Difference_Percent
HHHU,H,H,H,capital - offwind,capital,offwind,11693204222.565851,11.693204222565852,11693760968.324984,11.693760968324984,-556745.7591323853,-0.0005567457591323853,-0.004761049594227627
HHHU,H,H,H,capital - onwind,capital,onwind,77968297127.01434,77.96829712701434,78715319227.2208,78.71531922722079,-747022100.2064514,-0.7470221002064514,-0.9490174308384453
HHHU,H,H,H,capital - resistive heater,capital,resistive heater,5051005065.869556,5.051005065869556,4944049364.930292,4.944049364930292,106955700.9392643,0.10695570093926429,2.1633218652292383
HHHU,H,H,H,capital - solar,capital,solar,56390532372.72748,56.39053237272748,56665736469.45522,56.665736469455226,-275204096.72774506,-0.27520409672774504,-0.48566226060802986
HHHU,H,H,H,capital - solar thermal,capital,solar thermal,33882353.50198389,0.03388235350198389,35709240.66073903,0.03570924066073903,-1826887.1587551385,-0.0018268871587551385,-5.1160067392968465
HHHU,H,H,H,capital - stations,capital,stations,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HHHU,H,H,H,capital - water tanks,capital,water tanks,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HHHU,H,H,H,marginal - AC,marginal,AC,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HHHU,H,H,H,marginal - CHP coal,marginal,CHP coal,77754207.16233805,0.07775420716233805,81442271.36633778,0.08144227136633778,-3688064.203999728,-0.003688064203999728,-4.528439767366436
HHHU,H,H,H,marginal - CHP gas,marginal,CHP gas,76309610.84464896,0.07630961084464896,80619966.73316325,0.08061996673316325,-4310355.888514295,-0.004310355888514295,-5.346511618865774
HHHU,H,H,H,marginal - DAC,marginal,DAC,31761.431273174258,3.176143127317426e-05,235700.0858880269,0.0002357000858880269,-203938.65461485262,-0.00020393865461485264,-86.52464162093558
HHHU,H,H,H,marginal - H2,marginal,H2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HHHU,H,H,H,marginal - H2 CHP,marginal,H2 CHP,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HHHU,H,H,H,marginal - OCGT gas,marginal,OCGT gas,3842556.852256576,0.003842556852256576,4259175.686724296,0.004259175686724296,-416618.8344677198,-0.00041661883446771975,-9.78167760879896
HHHU,H,H,H,marginal - PHS,marginal,PHS,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HHHU,H,H,H,marginal - Sabatier,marginal,Sabatier,3515530871.6249123,3.5155308716249123,3809025227.9580336,3.8090252279580334,-293494356.3331213,-0.2934943563331213,-7.7052352969176745
HHHU,H,H,H,marginal - aluminum,marginal,aluminum,321039225.8114291,0.3210392258114291,0.0,0.0,321039225.8114291,0.3210392258114291,0.0
HHHU,H,H,H,marginal - aluminum transfer,marginal,aluminum transfer,0.0,0.0,0.0,0.0,0.0,0.0,0.0
