Scenario,Total_100p_Billion_EUR,Total_Non_Flex_Billion_EUR,Total_Difference_Billion_EUR,Total_Difference_Percent,Top_5_Changes
MMLU,516.7002338853125,497.1404652823405,19.559768602972046,3.934455142745921,capital - aluminum: 22.33B; capital - solar: 1.52B; shutdown - aluminum: 0.48B; startup - aluminum: 0.48B; capital - AC: 0.39B
MMMU,573.3646418913804,553.265901274813,20.098740616567383,3.6327452261664193,capital - aluminum: 22.33B; capital - onwind: 0.77B; shutdown - aluminum: 0.48B; startup - aluminum: 0.48B; capital - biomass: 0.35B
NHHU,570.2230103188391,564.6768434189423,5.546166899896728,0.9821842288266002,capital - aluminum: 11.17B; capital - biomass: 1.80B; marginal - biomass: 0.66B; capital - coal boiler: 0.38B; marginal - coal: 0.37B
NHLU,502.77064039456263,497.1404652823405,5.630175112222168,1.1325119368475927,capital - aluminum: 11.17B; capital - solar: 1.48B; capital - onwind: 0.66B; capital - heat pump: 0.51B; capital - AC: 0.33B
NHMU,559.246269335715,553.265901274813,5.9803680609021,1.0809211352303434,capital - aluminum: 11.17B; capital - biomass: 1.35B; capital - onwind: 0.68B; marginal - biomass: 0.46B; capital - coal boiler: 0.41B
NLHU,573.8651927202332,564.6768434189423,9.18834930129077,1.6271871971335283,capital - aluminum: 11.17B; capital - onwind: 0.32B; capital - biomass: 0.18B; marginal - aluminum: 0.08B; marginal - biomass: 0.06B
NLLU,506.46939119707224,497.1404652823405,9.328925914731812,1.8765171146214468,capital - aluminum: 11.17B; marginal - aluminum: 0.08B; capital - heat pump: 0.03B; capital - Sabatier: 0.00B; capital - biomass: 0.00B
NLMU,562.5348009001705,553.265901274813,9.268899625357422,1.6753065034372077,capital - aluminum: 11.17B; capital - onwind: 0.45B; capital - biomass: 0.27B; marginal - biomass: 0.09B; marginal - aluminum: 0.08B
NMHU,572.6501240610534,564.6768434189423,7.973280642110962,1.4120077235388706,capital - aluminum: 11.17B; capital - biomass: 0.79B; capital - onwind: 0.78B; marginal - biomass: 0.30B; capital - solar: 0.19B
NMLU,504.5604291797021,497.1404652823405,7.419963897361633,1.49252865448151,capital - aluminum: 11.17B; capital - solar: 1.30B; capital - AC: 0.32B; capital - onwind: 0.31B; capital - offwind: 0.17B
NMMU,561.241058927529,553.265901274813,7.975157652716065,1.4414692165810377,capital - aluminum: 11.17B; capital - onwind: 1.02B; capital - biomass: 0.56B; capital - solar: 0.27B; marginal - biomass: 0.19B
