Demand,Market,Flexibility,Category,Value (CNY),Value (Billion CNY),Scenario_Code
M,L,L,Batteries,4849534099,4.849534099,LMLF
M,L,L,Heating electrification,1366556089,1.366556089,LMLF
M,L,M,Non-renewable investment,-25615447834,-25.61544783,MMLF
M,L,M,Renewable investment,14388409328,14.38840933,MMLF
M,L,M,Non-renewable operation,-25332439417,-25.33243942,MMLF
M,L,M,Transmission lines,3087779295,3.087779295,MMLF
M,L,M,Long-duration storages,522823555.8,0.522823556,MMLF
M,L,M,Batteries,4962526638,4.962526638,MMLF
M,L,M,Heating electrification,1348321871,1.348321871,MMLF
M,L,H,Non-renewable investment,-25680947313,-25.68094731,HMLF
M,L,H,Renewable investment,14529909818,14.52990982,HMLF
M,L,H,Non-renewable operation,-25577540292,-25.57754029,HMLF
M,L,H,Transmission lines,3095188753,3.095188753,HMLF
M,L,H,Long-duration storages,502203390.2,0.50220339,HMLF
M,L,H,Batteries,4987153524,4.987153524,HMLF
M,L,H,Heating electrification,1394791092,1.394791092,HMLF
M,L,N,Non-renewable investment,-24068041250,-24.06804125,NMLF
M,L,N,Renewable investment,14162248503,14.1622485,NMLF
M,L,N,Non-renewable operation,-24916448803,-24.9164488,NMLF
M,L,N,Transmission lines,2512797915,2.512797915,NMLF
M,L,N,Long-duration storages,-1474912996,-1.474912996,NMLF
M,L,N,Batteries,3203709404,3.203709404,NMLF
M,L,N,Heating electrification,1021486822,1.021486822,NMLF
M,M,L,Non-renewable investment,-18233403105,-18.23340311,LMMF
M,M,L,Renewable investment,8312217606,8.312217606,LMMF
M,M,L,Non-renewable operation,-15785455829,-15.78545583,LMMF
M,M,L,Transmission lines,12451656.27,0.012451656,LMMF
M,M,L,Long-duration storages,548271227.4,0.548271227,LMMF
M,M,L,Batteries,-312688704.2,-0.312688704,LMMF
M,M,L,Heating electrification,234855881.7,0.234855882,LMMF
M,M,M,Non-renewable investment,-19390656716,-19.39065672,MMMF
M,M,M,Renewable investment,8749608206,8.749608206,MMMF
