Demand,Market,Flexibility,Category,Value (CNY),Value (Billion CNY),Scenario_Code
M,L,L,Batteries,4755642818,4.755642818,LMLU
M,L,L,Heating electrification,1411251976,1.411251976,LMLU
M,L,M,Non-renewable investment,-25720059486,-25.72005949,MMLU
M,L,M,Renewable investment,14570505175,14.57050517,MMLU
M,L,M,Non-renewable operation,-25473296667,-25.47329667,MMLU
M,L,M,Transmission lines,3087737168,3.087737168,MMLU
M,L,M,Long-duration storages,600395898.3,0.600395898,MMLU
M,L,M,Batteries,4992267614,4.992267614,MMLU
M,L,M,Heating electrification,1358324110,1.35832411,MMLU
M,L,H,Non-renewable investment,-25752705347,-25.75270535,HMLU
M,L,H,Renewable investment,14712281434,14.71228143,HMLU
M,L,H,Non-renewable operation,-25755619345,-25.75561935,HMLU
M,L,H,Transmission lines,3106665419,3.106665419,HMLU
M,L,H,Long-duration storages,513852261.4,0.513852261,HMLU
M,L,H,Batteries,5024789963,5.024789963,HMLU
M,L,H,Heating electrification,1427001565,1.427001565,HMLU
M,L,N,Non-renewable investment,-24131692812,-24.13169281,NMLU
M,L,N,Renewable investment,14283412695,14.28341269,NMLU
M,L,N,Non-renewable operation,-24972082853,-24.97208285,NMLU
M,L,N,Transmission lines,2526259735,2.526259735,NMLU
M,L,N,Long-duration storages,-1479378438,-1.479378438,NMLU
M,L,N,Batteries,3223714183,3.223714183,NMLU
M,L,N,Heating electrification,1031307322,1.031307322,NMLU
M,M,L,Non-renewable investment,-19329418221,-19.32941822,LMMU
M,M,L,Renewable investment,9094927917,9.094927917,LMMU
M,M,L,Non-renewable operation,-16541894374,-16.54189437,LMMU
M,M,L,Transmission lines,-5553536.577,-0.005553537,LMMU
M,M,L,Long-duration storages,506804558.5,0.506804558,LMMU
M,M,L,Batteries,-22589652.62,-0.022589653,LMMU
M,M,L,Heating electrification,224676210.6,0.224676211,LMMU
M,M,M,Non-renewable investment,-19460144364,-19.46014436,MMMU
M,M,M,Renewable investment,8969669888,8.969669888,MMMU
M,M,M,Non-renewable operation,-16979350290,-16.97935029,MMMU
M,M,M,Transmission lines,129516393.3,0.129516393,MMMU
M,M,M,Long-duration storages,477218317.8,0.477218318,MMMU
M,M,M,Batteries,-118712727.1,-0.118712727,MMMU
M,M,M,Heating electrification,260683025.7,0.260683026,MMMU
M,M,H,Non-renewable investment,-19406975651,-19.40697565,HMMU
M,M,H,Renewable investment,8880515783,8.880515783,HMMU
M,M,H,Non-renewable operation,-16776522050,-16.77652205,HMMU
M,M,H,Transmission lines,-92114738.8,-0.092114739,HMMU
M,M,H,Long-duration storages,327964745.1,0.327964745,HMMU
M,M,H,Batteries,-150468732.5,-0.150468732,HMMU
M,M,H,Heating electrification,200769701.7,0.200769702,HMMU
M,M,N,Non-renewable investment,-21835836351,-21.83583635,NMMU
M,M,N,Renewable investment,14575670968,14.57567097,NMMU
M,M,N,Non-renewable operation,-18843863561,-18.84386356,NMMU
M,M,N,Transmission lines,-408217669.4,-0.408217669,NMMU
M,M,N,Long-duration storages,-1649592423,-1.649592423,NMMU
M,M,N,Batteries,-1456544098,-1.456544098,NMMU
M,M,N,Heating electrification,-87082055.7,-0.087082056,NMMU
M,H,L,Non-renewable investment,-13847500081,-13.84750008,LMHU
M,H,L,Renewable investment,5349091964,5.349091964,LMHU
M,H,L,Non-renewable operation,-14090648851,-14.09064885,LMHU
M,H,L,Transmission lines,-456966293.3,-0.456966293,LMHU
M,H,L,Long-duration storages,1771250.073,0.00177125,LMHU
M,H,L,Batteries,358151552.3,0.358151552,LMHU
M,H,L,Heating electrification,-528199752.3,-0.528199752,LMHU
M,H,M,Non-renewable investment,-17637326557,-17.63732656,MMHU
M,H,M,Renewable investment,7754104685,7.754104685,MMHU
M,H,M,Non-renewable operation,-16674861317,-16.67486132,MMHU
M,H,M,Transmission lines,-216472146.5,-0.216472147,MMHU
M,H,M,Long-duration storages,-285076928.1,-0.285076928,MMHU
M,H,M,Batteries,511610426.4,0.511610426,MMHU
M,H,M,Heating electrification,-494358545.8,-0.494358546,MMHU
M,H,H,Non-renewable investment,-17973623967,-17.97362397,HMHU
M,H,H,Renewable investment,7777154590,7.77715459,HMHU
M,H,H,Non-renewable operation,-16370856492,-16.37085649,HMHU
M,H,H,Transmission lines,-310208180.4,-0.31020818,HMHU
M,H,H,Long-duration storages,-403494562.4,-0.403494562,HMHU
M,H,H,Batteries,369105436,0.369105436,HMHU
M,H,H,Heating electrification,-540403156.2,-0.540403156,HMHU
M,H,N,Non-renewable investment,-19876744227,-19.87674423,NMHU
M,H,N,Renewable investment,13834871187,13.83487119,NMHU
M,H,N,Non-renewable operation,-19156890017,-19.15689002,NMHU
M,H,N,Transmission lines,-543920869.2,-0.543920869,NMHU
M,H,N,Long-duration storages,-4327004482,-4.327004482,NMHU
M,H,N,Batteries,-2080578527,-2.080578527,NMHU
M,H,N,Heating electrification,256419565.6,0.256419566,NMHU
H,L,L,Non-renewable investment,-25820210171,-25.82021017,LHLU
H,L,L,Renewable investment,21988694754,21.98869475,LHLU
H,L,L,Non-renewable operation,-19625486768,-19.62548677,LHLU
H,L,L,Transmission lines,361923150.6,0.361923151,LHLU
H,L,L,Long-duration storages,796704892.4,0.796704892,LHLU
