表格信息行,表格名称：,generator,表格注释：,发电机信息,零维数据：,const_A,123,const_B,222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
列名称行,ID,Type,Bus,Pmax,Pmin,Ramp_up,Ramp_down,C_start,C_shut,Hmin_on,Hmin_off,C,C,C,C,C,C,C,C,Q,Q,Q,Q,Q,Q,Q,Q,Ahead_PT,Ahead_Uonoff,Ahead_Uonoff,Ahead_Uonoff,Ahead_Uonoff,Ahead_Uonoff,Ahead_Uonoff,Ahead_Uonoff,Ahead_Uonoff,Ahead_Uonoff,Ahead_Uonoff,Ahead_Uonoff,Ahead_Uonoff,Ahead_Uonoff,Ahead_Uonoff,Ahead_Uonoff,Ahead_Uonoff,Ahead_Uonoff,Ahead_Uonoff,Ahead_Uonoff,Ahead_Uonoff,Ahead_Uonoff,Ahead_Uonoff,Ahead_Uonoff,Ahead_Uonoff
列序号行,,,,,,,,,,,,1,2,3,4,5,6,7,8,1,2,3,4,5,6,7,8,1,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
列注释行,机组编号,"机组类型
1-火力
2-光伏
3-风电
4-水电",所在节点编号,最大出力(100MW),最小出力(100MW),上爬坡容量(100MW),下爬坡容量(100MW),"开机成本
（万元）","关机成本
（万元）",最小运行时间（h）,最小停机时间（h),分段成本信息,,,,,,,,分段报量信息,,,,,,,,"前一日尾部时段
机组出力情况
（做UC时使用）","前一日尾部时段
机组运行状态
（做UC时使用）",,,,,,,,,,,,,,,,,,,,,,,
41,41,1,19,660,180,480,480,3800000,2400000,2 ,1,412.300 ,412.300 ,423.400 ,424.400 ,415.600 ,426.600 ,457.700 ,458.800 ,82.500 ,82.500 ,82.500 ,82.500 ,82.500 ,82.500 ,82.500 ,82.500 ,420,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
42,42,1,19,660,180,480,480,3800000,2400000,2 ,1,412.300 ,412.300 ,423.400 ,424.400 ,415.600 ,426.600 ,457.700 ,458.800 ,82.500 ,82.500 ,82.500 ,82.500 ,82.500 ,82.500 ,82.500 ,82.500 ,420,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
43,43,1,19,660,180,480,480,3800000,2400000,2 ,1,412.300 ,412.300 ,423.400 ,424.400 ,415.600 ,426.600 ,457.700 ,458.800 ,82.500 ,82.500 ,82.500 ,82.500 ,82.500 ,82.500 ,82.500 ,82.500 ,420,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
44,44,1,19,660,180,480,480,3800000,2400000,2 ,1,412.300 ,412.300 ,423.400 ,424.400 ,415.600 ,426.600 ,457.700 ,458.800 ,82.500 ,82.500 ,82.500 ,82.500 ,82.500 ,82.500 ,82.500 ,82.500 ,420,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
45,45,1,19,1000,450,550,550,3800000,2400000,2 ,1,395.000 ,396.700 ,398.800 ,398.800 ,402.300 ,404.500 ,405.600 ,406.700 ,125.000 ,125.000 ,125.000 ,125.000 ,125.000 ,125.000 ,125.000 ,125.000 ,725,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
46,46,1,19,1000,450,550,550,3800000,2400000,2 ,1,395.000 ,396.700 ,398.800 ,398.800 ,402.300 ,404.500 ,405.600 ,406.700 ,125.000 ,125.000 ,125.000 ,125.000 ,125.000 ,125.000 ,125.000 ,125.000 ,725,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
47,47,1,19,1000,450,550,550,3800000,2400000,2 ,1,395.000 ,396.700 ,398.800 ,398.800 ,402.300 ,404.500 ,405.600 ,406.700 ,125.000 ,125.000 ,125.000 ,125.000 ,125.000 ,125.000 ,125.000 ,125.000 ,725,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
48,48,1,19,1000,450,550,550,3800000,2400000,2 ,1,395.000 ,396.700 ,398.800 ,398.800 ,402.300 ,404.500 ,405.600 ,406.700 ,125.000 ,125.000 ,125.000 ,125.000 ,125.000 ,125.000 ,125.000 ,125.000 ,725,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
49,49,1,21,660,180,480,480,3800000,2400000,2 ,1,432.200 ,433.300 ,434.400 ,445.100 ,446.100 ,447.800 ,459.800 ,479.800 ,82.500 ,82.500 ,82.500 ,82.500 ,82.500 ,82.500 ,82.500 ,82.500 ,420,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
50,50,1,21,660,180,480,480,3800000,2400000,2 ,1,432.200 ,433.300 ,434.400 ,445.100 ,446.100 ,447.800 ,459.800 ,479.800 ,82.500 ,82.500 ,82.500 ,82.500 ,82.500 ,82.500 ,82.500 ,82.500 ,420,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
