表格信息行,表格名称：,generator,表格注释：,发电机信息,零维数据：,const_A,123,const_B,222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
列名称行,ID,Type,Bus,Pmax,Pmin,Ramp_up,Ramp_down,C_start,C_shut,Hmin_on,Hmin_off,C,C,C,C,C,C,C,C,Q,Q,Q,Q,Q,Q,Q,Q,Ahead_PT,Ahead_Uonoff,Ahead_Uonoff,Ahead_Uonoff,Ahead_Uonoff,Ahead_Uonoff,Ahead_Uonoff,Ahead_Uonoff,Ahead_Uonoff,Ahead_Uonoff,Ahead_Uonoff,Ahead_Uonoff,Ahead_Uonoff,Ahead_Uonoff,Ahead_Uonoff,Ahead_Uonoff,Ahead_Uonoff,Ahead_Uonoff,Ahead_Uonoff,Ahead_Uonoff,Ahead_Uonoff,Ahead_Uonoff,Ahead_Uonoff,Ahead_Uonoff,Ahead_Uonoff
列序号行,,,,,,,,,,,,1,2,3,4,5,6,7,8,1,2,3,4,5,6,7,8,1,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
列注释行,机组编号,"机组类型
1-火力
2-光伏
3-风电
4-水电",所在节点编号,最大出力(100MW),最小出力(100MW),上爬坡容量(100MW),下爬坡容量(100MW),"开机成本
（万元）","关机成本
（万元）",最小运行时间（h）,最小停机时间（h),分段成本信息,,,,,,,,分段报量信息,,,,,,,,"前一日尾部时段
机组出力情况
（做UC时使用）","前一日尾部时段
机组运行状态
（做UC时使用）",,,,,,,,,,,,,,,,,,,,,,,
14,14,1,7,660,180,480,480,3800000,2400000,2 ,1,412.300 ,412.300 ,423.400 ,424.400 ,415.600 ,426.600 ,457.700 ,458.800 ,82.500 ,82.500 ,82.500 ,82.500 ,82.500 ,82.500 ,82.500 ,82.500 ,420,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
15,15,1,7,660,180,480,480,3800000,2400000,2 ,1,412.300 ,412.300 ,423.400 ,424.400 ,415.600 ,426.600 ,457.700 ,458.800 ,82.500 ,82.500 ,82.500 ,82.500 ,82.500 ,82.500 ,82.500 ,82.500 ,420,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
16,16,1,7,660,180,480,480,3800000,2400000,2 ,1,412.300 ,412.300 ,423.400 ,424.400 ,415.600 ,426.600 ,457.700 ,458.800 ,82.500 ,82.500 ,82.500 ,82.500 ,82.500 ,82.500 ,82.500 ,82.500 ,420,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
17,17,1,7,1000,450,550,550,3800000,2400000,2 ,1,395.000 ,396.700 ,398.800 ,398.800 ,402.300 ,404.500 ,405.600 ,406.700 ,125.000 ,125.000 ,125.000 ,125.000 ,125.000 ,125.000 ,125.000 ,125.000 ,725,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
18,18,1,7,1000,450,550,550,3800000,2400000,2 ,1,395.000 ,396.700 ,398.800 ,398.800 ,402.300 ,404.500 ,405.600 ,406.700 ,125.000 ,125.000 ,125.000 ,125.000 ,125.000 ,125.000 ,125.000 ,125.000 ,725,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
19,19,1,7,1000,450,550,550,3800000,2400000,2 ,1,395.000 ,396.700 ,398.800 ,398.800 ,402.300 ,404.500 ,405.600 ,406.700 ,125.000 ,125.000 ,125.000 ,125.000 ,125.000 ,125.000 ,125.000 ,125.000 ,725,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
20,20,1,7,1000,450,550,550,3800000,2400000,2 ,1,395.000 ,396.700 ,398.800 ,398.800 ,402.300 ,404.500 ,405.600 ,406.700 ,125.000 ,125.000 ,125.000 ,125.000 ,125.000 ,125.000 ,125.000 ,125.000 ,725,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
21,21,1,16,350,165,185,185,3800000,2400000,2 ,1,410.000 ,412.300 ,413.200 ,413.300 ,314.500 ,416.700 ,417.700 ,418.200 ,43.750 ,43.750 ,43.750 ,43.750 ,43.750 ,43.750 ,43.750 ,43.750 ,257.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
22,22,1,16,350,165,185,185,3800000,2400000,2 ,1,410.000 ,412.300 ,413.200 ,413.300 ,314.500 ,416.700 ,417.700 ,418.200 ,43.750 ,43.750 ,43.750 ,43.750 ,43.750 ,43.750 ,43.750 ,43.750 ,257.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
23,23,1,16,350,165,185,185,3800000,2400000,2 ,1,410.000 ,412.300 ,413.200 ,413.300 ,314.500 ,416.700 ,417.700 ,418.200 ,43.750 ,43.750 ,43.750 ,43.750 ,43.750 ,43.750 ,43.750 ,43.750 ,257.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
24,24,1,16,350,165,185,185,3800000,2400000,2 ,1,410.000 ,412.300 ,413.200 ,413.300 ,314.500 ,416.700 ,417.700 ,418.200 ,43.750 ,43.750 ,43.750 ,43.750 ,43.750 ,43.750 ,43.750 ,43.750 ,257.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
25,25,1,16,660,180,480,480,3800000,2400000,2 ,1,412.300 ,412.300 ,423.400 ,424.400 ,415.600 ,426.600 ,457.700 ,458.800 ,82.500 ,82.500 ,82.500 ,82.500 ,82.500 ,82.500 ,82.500 ,82.500 ,420,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
26,26,1,16,660,180,480,480,3800000,2400000,2 ,1,412.300 ,412.300 ,423.400 ,424.400 ,415.600 ,426.600 ,457.700 ,458.800 ,82.500 ,82.500 ,82.500 ,82.500 ,82.500 ,82.500 ,82.500 ,82.500 ,420,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
27,27,1,16,660,180,480,480,3800000,2400000,2 ,1,412.300 ,412.300 ,423.400 ,424.400 ,415.600 ,426.600 ,457.700 ,458.800 ,82.500 ,82.500 ,82.500 ,82.500 ,82.500 ,82.500 ,82.500 ,82.500 ,420,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
28,28,1,16,660,180,480,480,3800000,2400000,2 ,1,412.300 ,412.300 ,423.400 ,424.400 ,415.600 ,426.600 ,457.700 ,458.800 ,82.500 ,82.500 ,82.500 ,82.500 ,82.500 ,82.500 ,82.500 ,82.500 ,420,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
29,29,1,19,320,125,195,195,3800000,2400000,2 ,1,432.200 ,433.300 ,434.400 ,445.100 ,446.100 ,447.800 ,459.800 ,479.800 ,40.000 ,40.000 ,40.000 ,40.000 ,40.000 ,40.000 ,40.000 ,40.000 ,222.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
30,30,1,19,320,125,195,195,3800000,2400000,2 ,1,432.200 ,433.300 ,434.400 ,445.100 ,446.100 ,447.800 ,459.800 ,479.800 ,40.000 ,40.000 ,40.000 ,40.000 ,40.000 ,40.000 ,40.000 ,40.000 ,222.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
31,31,1,19,320,125,195,195,3800000,2400000,2 ,1,432.200 ,433.300 ,434.400 ,445.100 ,446.100 ,447.800 ,459.800 ,479.800 ,40.000 ,40.000 ,40.000 ,40.000 ,40.000 ,40.000 ,40.000 ,40.000 ,222.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
32,32,1,19,320,125,195,195,3800000,2400000,2 ,1,432.200 ,433.300 ,434.400 ,445.100 ,446.100 ,447.800 ,459.800 ,479.800 ,40.000 ,40.000 ,40.000 ,40.000 ,40.000 ,40.000 ,40.000 ,40.000 ,222.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
33,33,1,19,660,180,480,480,3800000,2400000,2 ,1,412.300 ,412.300 ,423.400 ,424.400 ,415.600 ,426.600 ,457.700 ,458.800 ,82.500 ,82.500 ,82.500 ,82.500 ,82.500 ,82.500 ,82.500 ,82.500 ,420,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
34,34,1,19,660,180,480,480,3800000,2400000,2 ,1,412.300 ,412.300 ,423.400 ,424.400 ,415.600 ,426.600 ,457.700 ,458.800 ,82.500 ,82.500 ,82.500 ,82.500 ,82.500 ,82.500 ,82.500 ,82.500 ,420,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
35,35,1,19,660,180,480,480,3800000,2400000,2 ,1,412.300 ,412.300 ,423.400 ,424.400 ,415.600 ,426.600 ,457.700 ,458.800 ,82.500 ,82.500 ,82.500 ,82.500 ,82.500 ,82.500 ,82.500 ,82.500 ,420,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
36,36,1,19,660,180,480,480,3800000,2400000,2 ,1,412.300 ,412.300 ,423.400 ,424.400 ,415.600 ,426.600 ,457.700 ,458.800 ,82.500 ,82.500 ,82.500 ,82.500 ,82.500 ,82.500 ,82.500 ,82.500 ,420,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
37,37,1,19,660,180,480,480,3800000,2400000,2 ,1,412.300 ,412.300 ,423.400 ,424.400 ,415.600 ,426.600 ,457.700 ,458.800 ,82.500 ,82.500 ,82.500 ,82.500 ,82.500 ,82.500 ,82.500 ,82.500 ,420,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
38,38,1,19,660,180,480,480,3800000,2400000,2 ,1,412.300 ,412.300 ,423.400 ,424.400 ,415.600 ,426.600 ,457.700 ,458.800 ,82.500 ,82.500 ,82.500 ,82.500 ,82.500 ,82.500 ,82.500 ,82.500 ,420,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
39,39,1,19,660,180,480,480,3800000,2400000,2 ,1,412.300 ,412.300 ,423.400 ,424.400 ,415.600 ,426.600 ,457.700 ,458.800 ,82.500 ,82.500 ,82.500 ,82.500 ,82.500 ,82.500 ,82.500 ,82.500 ,420,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
40,40,1,19,660,180,480,480,3800000,2400000,2 ,1,412.300 ,412.300 ,423.400 ,424.400 ,415.600 ,426.600 ,457.700 ,458.800 ,82.500 ,82.500 ,82.500 ,82.500 ,82.500 ,82.500 ,82.500 ,82.500 ,420,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
