Scenario,Total_100p_Billion_EUR,Total_Non_Flex_Billion_EUR,Total_Difference_Billion_EUR,Total_Difference_Percent,Top_5_Changes
MMLF,516.8904228910926,497.1404652823405,19.749957608752197,3.972711736015218,capital - aluminum: 22.33B; capital - solar: 1.51B; shutdown - aluminum: 0.48B; startup - aluminum: 0.48B; capital - AC: 0.39B
MMMF,573.534005452293,553.265901274813,20.26810417747998,3.663356829108577,capital - aluminum: 22.33B; capital - onwind: 0.76B; shutdown - aluminum: 0.48B; startup - aluminum: 0.48B; capital - biomass: 0.34B
NHHF,570.2212127305539,564.6768434189423,5.544369311611573,0.9818658895311065,capital - aluminum: 11.17B; capital - biomass: 1.80B; marginal - biomass: 0.66B; capital - coal boiler: 0.38B; marginal - coal: 0.37B
NHLF,502.7543525388297,497.1404652823405,5.6138872564892575,1.1292356282647338,capital - aluminum: 11.17B; capital - solar: 1.46B; capital - onwind: 0.66B; capital - heat pump: 0.50B; capital - AC: 0.33B
NHMF,559.2457137556846,553.265901274813,5.9798124808715825,1.080820716963243,capital - aluminum: 11.17B; capital - biomass: 1.35B; capital - onwind: 0.68B; marginal - biomass: 0.46B; capital - coal boiler: 0.41B
NLHF,573.8798023459473,564.6768434189423,9.202958927004882,1.629774451398402,capital - aluminum: 11.17B; capital - onwind: 0.32B; capital - biomass: 0.20B; marginal - aluminum: 0.08B; marginal - biomass: 0.07B
NLLF,506.45972966816566,497.1404652823405,9.319264385825194,1.8745736942842735,capital - aluminum: 11.17B; marginal - aluminum: 0.08B; capital - heat pump: 0.02B; capital - Sabatier: 0.01B; marginal - onwind: 0.00B
NLMF,562.5548698060456,553.265901274813,9.288968531232666,1.6789338561854976,capital - aluminum: 11.17B; capital - onwind: 0.44B; capital - biomass: 0.27B; marginal - biomass: 0.09B; marginal - aluminum: 0.08B
NMHF,572.6506242170288,564.6768434189423,7.973780798086426,1.4120962973809352,capital - aluminum: 11.17B; capital - biomass: 0.79B; capital - onwind: 0.78B; marginal - biomass: 0.29B; capital - solar: 0.18B
NMLF,504.5531113915396,497.1404652823405,7.4126461091990965,1.49105667851625,capital - aluminum: 11.17B; capital - solar: 1.29B; capital - AC: 0.32B; capital - onwind: 0.30B; capital - offwind: 0.17B
NMMF,561.2539948778169,553.265901274813,7.9880936030039065,1.4438073238560452,capital - aluminum: 11.17B; capital - onwind: 1.02B; capital - biomass: 0.56B; capital - solar: 0.28B; marginal - biomass: 0.19B
