Scenario,Flexibility,Demand,Market,Category,Cost_Type,Carrier,Value_100p_EUR,Value_100p_Billion_EUR,Value_Non_Flex_EUR,Value_Non_Flex_Billion_EUR,Difference_EUR,Difference_Billion_EUR,Difference_Percent
HHHF,H,H,H,capital - AC,capital,AC,9425175512.525438,9.425175512525438,9334758293.180794,9.334758293180794,90417219.34464455,0.09041721934464454,0.9686080400249455
HHHF,H,H,H,capital - CHP coal,capital,CHP coal,28578450769.940758,28.57845076994076,28577824233.9604,28.5778242339604,626535.9803581238,0.0006265359803581238,0.0021923851698044286
HHHF,H,H,H,capital - CHP gas,capital,CHP gas,2987079608.152798,2.9870796081527984,2986495912.1859145,2.9864959121859145,583695.9668836594,0.0005836959668836594,0.019544509152079604
HHHF,H,H,H,capital - DAC,capital,DAC,343025.069370756,0.000343025069370756,172540.41154847146,0.00017254041154847146,170484.65782228453,0.00017048465782228454,98.80853783311545
HHHF,H,H,H,capital - H2,capital,H2,6093737379.984114,6.0937373799841135,6573282791.45476,6.573282791454759,-479545411.4706459,-0.4795454114706459,-7.295371683902798
HHHF,H,H,H,capital - H2 CHP,capital,H2 CHP,1223870.4951649057,0.0012238704951649058,670049.6663876481,0.0006700496663876481,553820.8287772576,0.0005538208287772575,82.65369815986926
HHHF,H,H,H,capital - OCGT gas,capital,OCGT gas,762451079.9188439,0.7624510799188439,762290954.4027784,0.7622909544027784,160125.51606547832,0.00016012551606547833,0.021005826599494373
HHHF,H,H,H,capital - PHS,capital,PHS,2825336461.717002,2.825336461717002,2825336461.717002,2.825336461717002,0.0,0.0,0.0
HHHF,H,H,H,capital - Sabatier,capital,Sabatier,6607971859.948637,6.607971859948637,7278158198.415347,7.278158198415347,-670186338.4667101,-0.67018633846671,-9.208185920067358
HHHF,H,H,H,capital - aluminum,capital,aluminum,165280133338.62173,165.28013333862174,0.0,0.0,165280133338.62173,165.28013333862174,0.0
HHHF,H,H,H,capital - aluminum transfer,capital,aluminum transfer,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HHHF,H,H,H,capital - battery,capital,battery,3350788600.413682,3.350788600413682,3327989345.702526,3.3279893457025262,22799254.71115589,0.022799254711155893,0.6850759525596695
HHHF,H,H,H,capital - biomass,capital,biomass,28504859869.251884,28.504859869251884,28252040573.45112,28.25204057345112,252819295.800766,0.252819295800766,0.8948709214241475
HHHF,H,H,H,capital - co2 atmosphere,capital,co2 atmosphere,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HHHF,H,H,H,capital - co2 stored,capital,co2 stored,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HHHF,H,H,H,capital - coal,capital,coal,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HHHF,H,H,H,capital - coal boiler,capital,coal boiler,11318080542.810505,11.318080542810504,11113901975.480837,11.113901975480838,204178567.32966805,0.20417856732966805,1.8371456557752697
HHHF,H,H,H,capital - coal cc,capital,coal cc,2278203660.7115026,2.2782036607115024,2876522780.797464,2.876522780797464,-598319120.0859613,-0.5983191200859613,-20.80008279719197
HHHF,H,H,H,capital - coal power plant,capital,coal power plant,20951665810.51416,20.95166581051416,20951665810.51416,20.95166581051416,0.0,0.0,0.0
HHHF,H,H,H,capital - gas,capital,gas,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HHHF,H,H,H,capital - gas boiler,capital,gas boiler,10283346420.925035,10.283346420925035,11068347611.870584,11.068347611870584,-785001190.945549,-0.785001190945549,-7.092306986307973
HHHF,H,H,H,capital - heat pump,capital,heat pump,54762913339.26917,54.762913339269176,54570749642.46885,54.57074964246885,192163696.8003235,0.1921636968003235,0.35213680966327615
HHHF,H,H,H,capital - hydro_inflow,capital,hydro_inflow,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HHHF,H,H,H,capital - hydroelectricity,capital,hydroelectricity,17498452351.438705,17.498452351438704,17498452351.438705,17.498452351438704,0.0,0.0,0.0
HHHF,H,H,H,capital - nuclear,capital,nuclear,97870673951.96654,97.87067395196654,98763557828.23492,98.76355782823492,-892883876.2683868,-0.8928838762683868,-0.9040620810980197
