,Other Electricity Load,Electric Heating,Methanation Electricity,Battery Loss,PHS Loss,Wind Generation,Solar Generation,Hydro Generation,Net Load
1,28.201113603058946,0.9296728324047564,0.0,0.35294395030923853,0.0,1.9102636338198649,32.72373168118725,10.106749645162388,-15.257014574396567
2,24.743633704094368,0.8746589294329083,0.0,0.33450577303265083,0.0,1.2928506821210266,29.386379975473165,5.239477621432191,-9.965909872466458
3,29.818361194331036,0.9509306188483823,0.0,0.37320355947244715,0.0,2.374108938514931,38.307920988999406,6.681468109515932,-16.221002664378403
4,28.48727186090597,0.8538450403100875,0.0,0.2972987887655578,0.0,1.4819820067523946,31.71686166537316,11.649406756861408,-15.209834739005343
5,30.08597406886769,0.907784907588445,0.0,0.2895098631108761,0.0,1.5107481821062891,33.33077291152191,16.97977173546337,-20.53802398952456
6,30.376489848489534,0.6808057558585738,0.0,0.2984346322772294,0.0,1.173742487058853,26.91510462229257,22.16381052299403,-18.896927395720116
7,31.738646162740253,0.6364903463967619,0.0,0.31175354199437894,0.0,1.1121506414400146,22.288591128269324,28.45321316140502,-19.167064879982966
8,32.30859154150091,0.6506854665487231,0.0,0.2988978726131366,0.0,0.459659321555188,23.999209283989906,25.930459756875916,-17.131153481758236
9,32.783562672179904,0.6041757179949692,0.0,0.2539607042923449,0.0,0.3764108985954576,21.434113375966557,21.52614682589005,-9.694972005984845
10,36.00329629273498,0.6622262444619518,0.0,0.26248625339821224,0.0,0.4623094935791789,21.652622260814546,17.593757649758697,-2.7806806135572693
11,37.1319121826077,0.6604123946997131,0.0,0.32940432709058315,0.0,0.9547459194102195,29.6363542201762,11.096001129036022,-3.565372364224448
12,38.347889628319656,0.8080832017364161,0.0,0.3708988803504793,0.0,1.0770887418083368,30.061095929633293,14.00119771375046,-5.61251067478554
