year,market,flexibility,capacity,capacity_10k_tons,net_value,excess_ratio,demand_10k_tons
2030,L,L,29.822963189282333,2982.296318928233,8.508165806473507,0.02678444143932246,2902.417177819193
2030,L,M,33.81692024473435,3381.6920244734347,16.22710698236783,0.14172634384967975,2902.417177819193
2030,L,H,29.822963189282333,2982.296318928233,8.57375562343771,0.02678444143932246,2902.417177819193
2030,L,N,29.822963189282333,2982.296318928233,9.279677475245041,0.02678444143932246,2902.417177819193
2030,M,L,29.822963189282333,2982.296318928233,10.011565471259567,0.02678444143932246,2902.417177819193
2030,M,M,33.81692024473435,3381.6920244734347,20.550621492627087,0.14172634384967975,2902.417177819193
2030,M,H,29.822963189282333,2982.296318928233,10.096572652963998,0.02678444143932246,2902.417177819193
2030,M,N,29.822963189282333,2982.296318928233,10.075916065774612,0.02678444143932246,2902.417177819193
2030,H,L,29.822963189282333,2982.296318928233,9.996122986774175,0.02678444143932246,2902.417177819193
2030,H,M,35.41450306691515,3541.4503066915154,13.855366036189977,0.1804439067420709,2902.417177819193
2030,H,H,29.822963189282333,2982.296318928233,10.244435387871578,0.02678444143932246,2902.417177819193
2030,H,N,29.822963189282333,2982.296318928233,9.953642333830777,0.02678444143932246,2902.417177819193
2040,L,L,16.577618223549276,1657.7618223549275,6.114250852696406,0.09023701777704685,1508.1703393209764
2040,L,M,18.073533053888788,1807.3533053888789,6.121438380174479,0.16553651418117654,1508.1703393209764
2040,L,H,21.06536271456781,2106.536271456781,2.315607864146801,0.284052043272914,1508.1703393209764
2040,L,N,24.05719237524683,2405.719237524683,3.6352701938830414,0.3730896291652146,1508.1703393209764
2040,M,L,16.577618223549276,1657.7618223549275,7.537308113859992,0.09023701777704685,1508.1703393209764
2040,M,M,18.073533053888788,1807.3533053888789,12.281831635512665,0.16553651418117654,1508.1703393209764
2040,M,H,16.577618223549276,1657.7618223549275,2.124841836546984,0.09023701777704685,1508.1703393209764
2040,M,N,21.06536271456781,2106.536271456781,9.288395657808158,0.284052043272914,1508.1703393209764
2040,H,L,16.577618223549276,1657.7618223549275,8.42660128883379,0.09023701777704685,1508.1703393209764
2040,H,M,18.073533053888788,1807.3533053888789,13.963556947325237,0.16553651418117654,1508.1703393209764
2040,H,H,27.04902203592586,2704.902203592586,14.935798669495021,0.4424307328679533,1508.1703393209764
2040,H,N,18.073533053888788,1807.3533053888789,11.10727544051628,0.16553651418117654,1508.1703393209764
2050,L,L,13.33349452845648,1333.349452845648,9.519483544627485,0.12499785252514395,1166.6836345743664
2050,L,M,18.33346907659493,1833.3469076594931,14.385045552379326,0.36363182019719853,1166.6836345743664
2050,L,H,18.33346907659493,1833.3469076594931,10.577501061110338,0.36363182019719853,1166.6836345743664
2050,L,N,15.000152711169296,1500.0152711169296,16.53709031512759,0.22221882867523113,1166.6836345743664
2050,M,L,13.33349452845648,1333.349452845648,6.671225859440344,0.12499785252514395,1166.6836345743664
2050,M,M,18.33346907659493,1833.3469076594931,16.75128447048519,0.36363182019719853,1166.6836345743664
2050,M,H,18.33346907659493,1833.3469076594931,13.607755946815473,0.36363182019719853,1166.6836345743664
2050,M,N,21.66678544202056,2166.678544202056,14.565473290044757,0.4615335820367241,1166.6836345743664
2050,H,L,13.33349452845648,1333.349452845648,11.355458093742461,0.12499785252514395,1166.6836345743664
2050,H,M,18.33346907659493,1833.3469076594931,22.882890477809333,0.36363182019719853,1166.6836345743664
2050,H,H,18.33346907659493,1833.3469076594931,14.685153156090005,0.36363182019719853,1166.6836345743664
2050,H,N,18.33346907659493,1833.3469076594931,24.36433491290476,0.36363182019719853,1166.6836345743664
